Nonce,Sender,GatewayTransactionsGRPC(54.144.86.226:5005) Hash,GatewayTransactionsGRPC(54.91.48.97:5005) Hash,GatewayTransactionsGRPC(54.144.86.226:5005) Time,GatewayTransactionsGRPC(54.91.48.97:5005) Time,Time diff,GatewayTransactionsGRPC(54.144.86.226:5005) message len,GatewayTransactionsGRPC(54.91.48.97:5005) message len,Hashes are equal
1918,0xaaa5c5184cb3771412fcd5e2268b1b12a834ccc0,0x8a190b9305c6b72ce10851f36b9317a46aa4ba71dce0d835b44ac955137c88dc,0x8a190b9305c6b72ce10851f36b9317a46aa4ba71dce0d835b44ac955137c88dc,2023-10-15T15:22:35.145399,2023-10-15T15:22:35.145399,0,220,220,true
1,0x231ef92371e7b6705718c1fc726628bd0eddf717,0x9e584f0f22c23fadb679560c0df62451d4ecf58a8c87d44a71832c45eb251a38,0x9e584f0f22c23fadb679560c0df62451d4ecf58a8c87d44a71832c45eb251a38,2023-10-15T15:22:46.624748,2023-10-15T15:22:46.625106,-357,152,152,true
11408434,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x7840e7039fa680953f10faf4d537e73b83895c45e7ad17a408017df03290442a,0x7840e7039fa680953f10faf4d537e73b83895c45e7ad17a408017df03290442a,2023-10-15T15:22:11.173396,2023-10-15T15:22:11.173419,-23,213,213,true
4223973,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x7bbbff9ce8c2a88143f233336a83babc3b92f63e3f4d3359d3a1148849c0b725,0x7bbbff9ce8c2a88143f233336a83babc3b92f63e3f4d3359d3a1148849c0b725,2023-10-15T15:23:01.599423,2023-10-15T15:23:01.599457,-34,150,150,true
792,0x0b41ca9dd8cf98910c6dc48bfc8af924c4f1268d,0x63498045f5675f934ce061d1a5b2bb669d5042ece74432c7f920f962788503fc,0x63498045f5675f934ce061d1a5b2bb669d5042ece74432c7f920f962788503fc,2023-10-15T15:23:29.378433,2023-10-15T15:23:29.378182,251,219,219,true
203,0x64bcf03b97e1d5227101d83e677f5c8d771eaacf,0x987f92a5820c55e0c4a75c0c354cefe23be03fceb1d2193c09a48878e89ac90f,0x987f92a5820c55e0c4a75c0c354cefe23be03fceb1d2193c09a48878e89ac90f,2023-10-15T15:22:05.884073,2023-10-15T15:22:05.884073,0,1213,1213,true
2471,0x7c7c9ce081becb5f44ef9eed3a90d99057d2eb53,0xf941f61c75e2364b24cd6a48a3f049d8997c3ef25a3659a095d699b7cc0e0d2b,0xf941f61c75e2364b24cd6a48a3f049d8997c3ef25a3659a095d699b7cc0e0d2b,2023-10-15T15:24:24.951984,2023-10-15T15:24:24.951951,33,894,894,true
12,0xe16ee7ef49dc0ce1dd7fd1037e2603f7b8dd1c6d,0xe13e4801f3608fcd67fc6bf3606764aa8b5bd49af2ad263b244d60f64ed4ad98,0xe13e4801f3608fcd67fc6bf3606764aa8b5bd49af2ad263b244d60f64ed4ad98,2023-10-15T15:22:37.460504,2023-10-15T15:22:37.460504,0,354,354,true
3,0x570e69d2a27d70011c9beb16d61deb99ea7321f7,0x59ac045f41f368a15685f6dace707beac6d971af2004a43d1f3bdd5b5885e92a,0x59ac045f41f368a15685f6dace707beac6d971af2004a43d1f3bdd5b5885e92a,2023-10-15T15:23:54.569884,2023-10-15T15:23:54.569885,0,417,417,true
10618,0xaa0e9a1e2d2ccf2b867fda047bb5394bef1883e0,0xad612eed94fb05384929d4eb022fa3d01e99ca9b938cc4fd21a9a1d003b8cc77,0xad612eed94fb05384929d4eb022fa3d01e99ca9b938cc4fd21a9a1d003b8cc77,2023-10-15T15:22:24.321167,2023-10-15T15:22:24.321167,0,156,156,true
